0,0.181250,11.537811
1,0.181250,11.537815
2,0.181250,11.537825
3,0.181250,11.537840
4,0.181250,11.537859
5,0.181250,11.537883
6,0.181250,11.537912
7,0.181250,11.537945
8,0.181250,11.537984
9,0.181250,11.538027
10,0.181250,11.538075
11,0.181250,11.538128
12,0.181250,11.538186
13,0.181250,11.538248
14,0.181250,11.538315
15,0.181250,11.538387
16,0.181250,11.538464
17,0.181250,11.538546
18,0.181250,11.538633
19,0.181250,11.538724
20,0.181250,11.538820
21,0.181250,11.538921
22,0.181250,11.539027
23,0.181250,11.539137
24,0.181250,11.539253
25,0.181250,11.539373
26,0.181250,11.539498
27,0.181250,11.539628
28,0.181250,11.539762
29,0.181250,11.539902
30,0.181250,11.540046
31,0.181250,11.540195
32,0.181250,11.540348
33,0.181250,11.540507
34,0.181250,11.540670
35,0.181250,11.540839
36,0.181250,11.541012
37,0.181250,11.541190
38,0.181250,11.541372
39,0.181250,11.541560
40,0.181250,11.541752
41,0.181250,11.541949
42,0.181250,11.542151
43,0.181250,11.542357
44,0.181250,11.542569
45,0.181250,11.542785
46,0.181250,11.543006
47,0.181250,11.543232
48,0.181250,11.543462
49,0.181250,11.543698
50,0.181250,11.543938
51,0.181250,11.544183
52,0.181250,11.544433
53,0.181250,11.544688
54,0.181250,11.544947
55,0.181250,11.545211
56,0.181250,11.545480
57,0.181250,11.545754
58,0.181250,11.546033
59,0.181250,11.546316
60,0.181250,11.546605
61,0.181250,11.546898
62,0.181250,11.547196
63,0.181250,11.547498
64,0.181250,11.547806
65,0.181250,11.548118
66,0.181250,11.548435
67,0.181250,11.548757
68,0.181250,11.549083
69,0.181250,11.549415
70,0.181250,11.549751
71,0.181250,11.550092
72,0.181250,11.550438
73,0.181250,11.550788
74,0.181250,11.551144
75,0.181250,11.551504
76,0.181250,11.551869
77,0.181250,11.552239
78,0.181250,11.552613
79,0.181250,11.552993
80,0.181250,11.553377
81,0.181250,11.553766
82,0.181250,11.554159
83,0.181250,11.554558
84,0.181250,11.554961
85,0.181250,11.555369
86,0.181250,11.555782
87,0.181250,11.556200
88,0.181250,11.556622
89,0.181250,11.557050
90,0.181250,11.557482
91,0.181250,11.557919
92,0.181250,11.558360
93,0.181250,11.558807
94,0.181250,11.559258
95,0.181250,11.559714
96,0.181250,11.560175
97,0.181250,11.560640
98,0.181250,11.561110
99,0.181250,11.561586
100,0.181250,11.562066
101,0.181250,11.562550
102,0.181250,11.563040
103,0.181250,11.563534
104,0.181250,11.564033
105,0.181250,11.564537
106,0.181250,11.565045
107,0.181250,11.565559
108,0.181250,11.566077
109,0.181250,11.566600
110,0.181250,11.567128
111,0.181250,11.567660
112,0.181250,11.568197
113,0.181250,11.568739
114,0.181250,11.569286
115,0.181250,11.569838
116,0.181250,11.570394
117,0.181250,11.570955
118,0.181250,11.571521
119,0.181250,11.572092
120,0.181250,11.572667
121,0.181250,11.573248
122,0.181250,11.573833
123,0.181250,11.574422
124,0.181250,11.575017
125,0.181250,11.575616
126,0.181250,11.576220
127,0.181250,11.576829
128,0.181250,11.577443
129,0.181250,11.578061
130,0.181250,11.578685
131,0.181249,11.579312
132,0.181249,11.579945
133,0.181249,11.580583
134,0.181249,11.581225
135,0.181249,11.581872
136,0.181249,11.582524
137,0.181249,11.583180
138,0.181249,11.583841
139,0.181249,11.584508
140,0.181249,11.585178
141,0.181249,11.585854
142,0.181249,11.586534
143,0.181249,11.587219
144,0.181249,11.587909
145,0.181249,11.588604
146,0.181249,11.589303
147,0.181249,11.590007
148,0.181249,11.590716
149,0.181249,11.591430
150,0.181249,11.592148
151,0.181249,11.592871
152,0.181249,11.593599
153,0.181249,11.594332
154,0.181249,11.595069
155,0.181249,11.595811
156,0.181249,11.596558
157,0.181249,11.597310
158,0.181248,11.598066
159,0.181248,11.598828
160,0.181248,11.599593
161,0.181248,11.600364
162,0.181248,11.601139
163,0.181248,11.601920
164,0.181248,11.602704
165,0.181248,11.603494
166,0.181248,11.604288
167,0.181248,11.605088
168,0.181248,11.605891
169,0.181248,11.606700
170,0.181248,11.607513
171,0.181248,11.608331
172,0.181248,11.609154
173,0.181248,11.609982
174,0.181248,11.610814
175,0.181247,11.611651
176,0.181247,11.612493
177,0.181247,11.613339
178,0.181247,11.614190
179,0.181247,11.615046
180,0.181247,11.615907
181,0.181247,11.616772
182,0.181247,11.617643
183,0.181247,11.618517
184,0.181247,11.619397
185,0.181247,11.620281
186,0.181247,11.621170
187,0.181247,11.622064
188,0.181247,11.622963
189,0.181246,11.623866
190,0.181246,11.624774
